2025-11-25T00:47:25.230Z [ctureModificationListener$Companion.initForProject] INFO ProjectStructureModificationListener is init for project Python
2025-11-25T00:47:25.233Z [s.AiToolwindowsInitializer.reinitializeToolWindows] INFO AI state ENABLED
2025-11-25T00:47:26.027Z [y.aiintellij.ui.panels.AIToolWindowLogPanel.<init>] INFO initializing a logs panel
2025-11-25T00:47:26.094Z [y.aiintellij.ui.panels.AIToolWindowLogPanel.<init>] INFO initializing a logs panel
2025-11-25T00:47:26.266Z [intellij.services.AiInitializeManager.initializeAI] INFO IntelliJ listens web server on port: 63342
2025-11-25T00:47:28.977Z [urity.aiintellij.utils.logging.AiLoggerAdapter.log] SEVE can't determine total memory
2025-11-25T00:47:28.977Z [urity.aiintellij.utils.logging.AiLoggerAdapter.log] SEVE Unable to locate JNA native support library
2025-11-25T00:47:28.980Z [urity.aiintellij.utils.logging.AiLoggerAdapter.log] SEVE can't determine bitness
2025-11-25T00:47:28.980Z [urity.aiintellij.utils.logging.AiLoggerAdapter.log] SEVE Could not initialize class com.sun.jna.Native
2025-11-25T00:47:28.982Z [urity.aiintellij.utils.logging.AiLoggerAdapter.log] INFO compatibility warnings: []
2025-11-25T00:47:28.982Z [urity.aiintellij.utils.logging.AiLoggerAdapter.log] INFO compatibility errors: []
2025-11-25T00:47:32.677Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 4096/2331512847 B
2025-11-25T00:47:36.548Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 10492303/2331512847 B
2025-11-25T00:47:40.070Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 20982159/2331512847 B
2025-11-25T00:47:43.375Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 31472015/2331512847 B
2025-11-25T00:47:47.967Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 41961871/2331512847 B
2025-11-25T00:47:53.391Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 52451727/2331512847 B
2025-11-25T00:47:58.101Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 62941583/2331512847 B
2025-11-25T00:48:02.129Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 73431439/2331512847 B
2025-11-25T00:48:04.951Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 83921295/2331512847 B
2025-11-25T00:48:06.873Z [tructureTask$run$2.invokeSuspend$lambda$1$lambda$0] INFO analyzer downloading: 94411151/2331512847 B
